N_ch N_D0 N_D N_Ds
39 0 0 0
33 0 0 0
0 0 0 0
0 0 0 0
7 0 0 0
0 0 0 0
70 0 1 1
40 0 0 0
85 0 0 0
49 1 1 0
0 0 0 0
0 0 0 0
156 0 2 0
47 0 0 0
1 0 0 0
7 0 0 0
41 0 0 0
38 0 0 0
40 0 0 0
0 0 0 0
62 0 0 0
36 0 0 0
76 0 0 0
118 1 0 0
103 1 1 0
0 0 0 0
15 0 0 0
39 0 0 0
0 0 0 0
61 0 0 0
11 0 0 0
95 4 0 0
11 0 0 0
55 0 0 0
0 0 0 0
19 0 0 0
62 0 0 0
72 0 0 0
53 0 1 1
86 0 0 0
62 0 1 0
128 0 0 0
110 0 0 0
31 0 0 0
0 0 0 0
6 0 0 0
0 0 0 0
16 0 0 0
97 2 1 0
50 0 0 0
10 0 0 0
92 0 0 0
77 0 0 0
17 0 0 0
61 0 0 0
0 0 0 0
21 0 0 0
0 0 0 0
0 0 0 0
17 0 0 0
33 0 0 0
13 0 0 0
9 0 0 0
15 0 0 0
78 0 0 0
23 0 0 0
20 0 0 0
277 3 1 1
0 0 0 0
14 0 0 0
24 0 0 0
0 0 0 0
0 0 0 0
188 2 0 0
0 0 0 0
0 0 0 0
6 0 0 0
0 0 0 0
0 0 0 0
16 0 0 0
115 0 0 0
17 0 0 0
28 0 0 0
39 0 0 0
19 0 0 0
0 0 0 0
17 0 0 0
0 0 0 0
80 1 0 0
137 0 1 0
67 0 0 0
28 0 0 0
106 0 0 0
6 0 0 0
11 0 0 0
97 0 0 0
23 0 0 0
25 0 0 0
32 0 0 0
0 0 0 0
16 0 0 0
12 0 0 0
17 0 0 0
17 0 0 0
15 0 0 0
0 0 0 0
8 0 0 0
82 0 0 0
0 0 0 0
23 0 0 0
0 0 0 0
6 0 0 0
73 0 0 0
132 0 0 0
0 0 0 0
57 0 0 0
22 1 0 0
25 0 0 0
98 0 0 0
7 0 0 0
41 1 0 1
131 2 2 0
210 1 0 0
43 0 0 0
24 0 0 0
8 0 0 0
26 0 0 0
109 1 1 0
19 0 0 0
6 0 0 0
8 0 0 0
45 0 0 0
130 0 0 0
3 0 0 0
5 0 0 0
164 0 0 0
10 0 0 0
12 0 0 0
4 0 0 0
50 0 0 0
0 0 0 0
0 0 0 0
34 0 0 0
0 0 0 0
0 0 0 0
17 0 0 0
54 0 0 0
0 0 0 0
68 0 0 0
0 0 0 0
0 0 0 0
11 0 0 0
25 0 0 0
23 0 0 0
5 0 0 0
50 0 2 0
21 0 0 0
0 0 0 0
15 0 0 0
46 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
0 0 0 0
99 0 0 0
92 1 1 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
20 0 0 0
41 0 0 0
40 0 0 0
0 0 0 0
119 0 0 0
11 0 0 0
17 0 0 0
6 0 0 0
16 0 0 0
0 0 0 0
114 0 0 0
41 0 0 0
15 0 0 0
36 0 0 0
0 0 0 0
0 0 0 0
148 0 0 0
27 0 0 0
23 0 0 0
58 1 1 0
0 0 0 0
64 0 0 0
21 0 0 0
46 0 0 0
147 0 0 0
85 0 0 0
20 0 0 0
131 0 0 0
16 0 0 0
68 0 0 0
0 0 0 0
67 1 0 0
11 0 0 0
15 0 0 0
42 0 0 0
46 0 0 0
0 0 0 0
94 0 0 0
38 1 0 0
84 1 0 0
0 0 0 0
19 0 0 0
11 0 0 0
0 0 0 0
5 0 0 0
0 0 0 0
0 0 0 0
26 0 0 0
1 0 0 0
0 0 0 0
0 0 0 0
22 0 0 0
66 0 0 0
41 0 0 0
0 0 0 0
16 0 0 0
56 0 0 0
55 0 0 0
92 0 0 0
0 0 0 0
45 0 0 0
56 0 0 0
13 0 0 0
15 0 0 0
26 0 0 0
0 0 0 0
0 0 0 0
96 0 0 0
10 0 0 0
0 0 0 0
106 1 1 0
0 0 0 0
4 0 0 0
162 1 1 0
109 1 0 1
11 0 0 0
36 0 0 0
0 0 0 0
32 0 0 0
88 0 0 0
0 0 0 0
17 0 0 0
15 0 0 0
0 0 0 0
13 0 0 0
13 0 0 0
39 0 0 0
30 0 0 0
0 0 0 0
20 0 0 0
0 0 0 0
0 0 0 0
45 0 0 0
49 0 0 0
107 1 1 0
0 0 0 0
75 0 0 0
53 0 0 0
69 0 0 0
64 0 0 0
0 0 0 0
84 2 0 0
0 0 0 0
109 0 0 0
0 0 0 0
5 0 0 0
0 0 0 0
62 0 0 0
19 0 0 0
0 0 0 0
0 0 0 0
26 0 0 0
11 0 0 0
0 0 0 0
106 0 0 0
18 0 0 0
9 0 0 0
48 0 0 0
10 0 0 0
29 0 0 0
23 0 0 0
40 0 0 0
15 0 0 0
29 0 0 0
0 0 0 0
19 0 0 0
2 0 0 0
32 0 0 0
30 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
38 1 0 0
50 0 0 0
95 0 0 0
103 1 1 0
0 0 0 0
36 0 0 0
13 0 0 0
24 0 0 0
0 0 0 0
37 0 0 0
82 0 0 0
56 0 0 0
97 0 0 0
86 1 1 0
50 0 0 0
70 0 0 0
73 0 0 0
0 0 0 0
0 0 0 0
114 0 0 0
43 2 0 0
0 0 0 0
72 0 0 0
110 0 0 0
124 0 0 0
133 0 0 0
3 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
152 1 1 0
8 0 0 0
32 0 0 0
69 0 0 0
118 1 0 1
0 0 0 0
11 0 0 0
0 0 0 0
1 0 0 0
0 0 0 0
80 0 0 0
39 0 0 0
0 0 0 0
15 0 0 0
94 0 0 0
0 0 0 0
131 0 0 0
0 0 0 0
20 0 0 0
56 0 0 0
71 1 0 1
0 0 0 0
96 0 1 1
0 0 0 0
9 0 0 0
21 0 0 0
76 0 0 0
9 0 0 0
39 0 0 0
133 0 0 0
0 0 0 0
41 0 0 0
28 1 1 0
9 0 0 0
23 0 0 0
20 0 0 0
0 0 0 0
0 0 0 0
29 2 0 0
17 0 0 0
0 0 0 0
7 0 0 0
9 0 0 0
11 0 0 0
0 0 0 0
55 0 0 0
8 0 0 0
33 0 0 0
0 0 0 0
34 0 0 0
20 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
7 0 0 0
0 0 0 0
20 0 0 0
0 0 0 0
68 0 0 0
90 0 0 0
5 0 0 0
45 0 0 0
18 0 0 0
18 0 0 0
12 0 0 0
12 0 0 0
32 0 1 0
8 0 0 0
74 1 1 0
0 0 0 0
0 0 0 0
69 0 0 0
0 0 0 0
0 0 0 0
86 0 0 0
18 0 0 0
90 1 1 0
0 0 0 0
0 0 0 0
13 0 0 0
0 0 0 0
16 0 0 0
0 0 0 0
77 0 0 0
20 0 0 0
0 0 0 0
0 0 0 0
88 0 0 0
69 2 0 0
0 0 0 0
27 0 0 0
39 0 0 0
98 2 0 0
37 0 0 0
0 0 0 0
0 0 0 0
33 0 0 0
0 0 0 0
60 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
15 0 0 0
116 0 0 0
69 0 0 0
45 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
46 0 0 0
122 0 0 0
0 0 0 0
21 0 0 0
40 0 0 0
14 0 0 0
19 0 0 0
0 0 0 0
97 0 0 0
11 0 0 0
71 0 0 0
